Data,Dinheiro,PIX,Master,Visa,Elo,Master.1,Visa.1,Elo.1,AmEx,Diners,Master.2,Visa.2,Elo.2,AmEx.1,Diners.1,Master.3,Visa.3,Elo.3,AmEx.2,Diners.2,Total,Unnamed: 22,Data.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Total.1,Unnamed: 45,Taxas de Cartões,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Total_do_Dia,Total_Dinheiro,Total_PIX,Total_Debito,Total_Credito_1x,Total_Credito_2x,Total_Credito_3x,Total_Credito,Mes_Ano
2025-01-22,0.0,315.8,0.0,149.8,59.9,119.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,645.5,0.0,2025-01-22,10.0,Fretes,10.0,Fretes,0.3,Outros,2066.87,PRONAMP,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2087.17,0.0,EMIVE,0.0,0,0.0,0,0.0,0,0.0,645.4,0.0,315.8,209.70000000000002,119.9,0.0,0.0,119.9,2025-01
2025-01-23,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,99.9,0.0,2025-01-23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Cartão de Crédito,0.0,0,0.0,0,0.0,0,0.0,99.9,0.0,0.0,0.0,99.9,0.0,0.0,99.9,2025-01
2025-01-24,0.0,0.0,0.0,0.0,0.0,79.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,79.9,0.0,2025-01-24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,CRM Bônus,0.0,0,0.0,0,0.0,0,0.0,79.9,0.0,0.0,0.0,79.9,0.0,0.0,79.9,2025-01
2025-01-25,60.0,245.7,0.0,159.8,79.9,369.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,914.9,0.0,2025-01-25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Marketing Local,0.0,0,0.0,0,0.0,0,0.0,914.9,60.0,245.7,239.70000000000002,369.5,0.0,0.0,369.5,2025-01
2025-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-01-26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Cursos ,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01
2025-01-27,259.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,259.7,0.0,2025-01-27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Loja,0.0,0,0.0,0,0.0,0,0.0,259.7,259.7,0.0,0.0,0.0,0.0,0.0,0.0,2025-01
2025-01-28,0.0,130.0,119.9,0.0,0.0,149.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,399.7000000000001,0.0,2025-01-28,10.1,Fretes,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.1,0.0,Presence,0.0,0,0.0,0,0.0,0,0.0,399.70000000000005,0.0,130.0,119.9,149.8,0.0,0.0,149.8,2025-01
2025-01-29,0.0,139.9,189.8,0.0,0.0,539.4,0.0,0.0,0.0,0,179.8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1048.9,0.0,2025-01-29,2171.59,Mercadorias,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2171.59,0.0,Manutenção/Escritótio,0.0,0,0.0,0,0.0,0,0.0,1048.9,0.0,139.9,189.8,539.4,179.8,0.0,719.2,2025-01
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-01-30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Fundo de Promoção,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01
2025-01-31,270.0,419.9,9.8,89.9,0.0,79.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,869.5,0.0,2025-01-31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Merc.Boleto.Protesto,0.0,0,0.0,0,0.0,0,0.0,869.4999999999999,270.0,419.9,99.7,79.9,0.0,0.0,79.9,2025-01
2025-02-01,0.0,0.0,179.8,79.9,0.0,199.8,119.8,2.0,0.0,0,219.8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,801.1000000000001,0.0,2025-02-01,100.0,Diária (s),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,0.0,Fretes,0.0,0,0.0,0,0.0,0,0.0,801.1000000000001,0.0,0.0,259.70000000000005,321.6,219.8,0.0,541.4000000000001,2025-02
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-02-02,311.89,EMIVE,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,311.89,0.0,Taxa Fisc. TFE,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02
2025-02-03,0.0,169.7,190.7,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,362.4,0.0,2025-02-03,413.24,Presence,473.0,Contabilidade,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,886.24,0.0,Passagem Theo (Patrocínio),0.0,0,0.0,0,0.0,0,0.0,362.4,0.0,169.7,190.7,2.0,0.0,0.0,2.0,2025-02
2025-02-04,0.0,139.9,191.81,0.0,0.0,0.0,239.8,0.0,0.0,0,0.0,119.9,0.0,0,0,0.0,0.0,0.0,0,0,691.41,0.0,2025-02-04,100.0,Diária (s),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,0.0,Porta Manutenção ,0.0,0,0.0,0,0.0,0,0.0,691.41,0.0,139.9,191.81,239.8,119.9,0.0,359.70000000000005,2025-02
2025-02-05,99.9,140.7,0.0,0.0,0.0,119.9,99.9,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,460.4,0.0,2025-02-05,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Aluguel maquininha,0.0,0,0.0,0,0.0,0,0.0,460.4,99.9,140.7,0.0,219.8,0.0,0.0,219.8,2025-02
2025-02-06,0.0,119.8,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,169.8,0.0,0,0,0.0,0.0,0.0,0,0,409.50000000000006,0.0,2025-02-06,2800.0,Consignado,255.12,Comissão,1700.0,Pró-Labore,166.98,DARF,27.88,Água ,3512.34,Mercadorias,421.03,Royalties,312.73,Royalties,440.55,Cartão de Crédito,25.0,Microsoft,9661.63,0.0,Tarifa Manutenção,0.0,0,0.0,0,0.0,0,0.0,409.5,0.0,119.8,119.9,0.0,169.8,0.0,169.8,2025-02
2025-02-07,0.0,0.0,90.8,0.0,0.0,189.8,159.8,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,440.4,0.0,2025-02-07,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20.0,Crédito Celular,98.65,Cursos ,752.0,Mercadorias,1500.0,Dívida Rosstamp,2370.65,0.0,Tarifa Plano Adapt ,0.0,0,0.0,0,0.0,0,0.0,440.40000000000003,0.0,0.0,90.8,349.6,0.0,0.0,349.6,2025-02
2025-02-08,150.0,269.7,119.9,0.0,119.9,49.9,239.8,0.0,0.0,0,0.0,0.0,0.0,0,0,209.8,0.0,0.0,0,0,1159.0,0.0,2025-02-08,100.0,Diária (s),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,0.0,Banco Itaú,0.0,0,0.0,0,0.0,0,0.0,1159.0,150.0,269.7,239.8,289.7,0.0,209.8,499.5,2025-02
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-02-09,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Diária (s),0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02
2025-02-10,129.8,79.9,14.9,0.0,0.0,0.0,0.0,1.0,0.0,0,199.8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,425.4,0.0,2025-02-10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Microsoft,0.0,0,0.0,0,0.0,0,0.0,425.40000000000003,129.8,79.9,14.9,1.0,199.8,0.0,200.8,2025-02
2025-02-11,0.0,200.0,269.6,0.0,0.0,119.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,209.8,0.0,0.0,0,0,799.3000000000001,0.0,2025-02-11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Art Tec (Cartões),0.0,0,0.0,0,0.0,0,0.0,799.3,0.0,200.0,269.6,119.9,0.0,209.8,329.70000000000005,2025-02
2025-02-12,0.0,119.9,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,179.8,0.0,2025-02-12,322.61,Luz,566.07,Simples Nacional,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,888.6800000000001,0.0,Consultor Franquia,0.0,0,0.0,0,0.0,0,0.0,179.8,0.0,119.9,59.9,0.0,0.0,0.0,0.0,2025-02
2025-02-13,119.9,0.0,0.0,0.0,0.0,29.8,209.71,0.0,0.0,0,105.7,0.0,0.0,0,0,0.0,239.8,0.0,0,0,704.91,0.0,2025-02-13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Cartucho Impressora ,0.0,0,0.0,0,0.0,0,0.0,704.9100000000001,119.9,0.0,0.0,239.51000000000002,105.7,239.8,585.01,2025-02
2025-02-14,0.0,9.9,49.8,240.8,0.0,194.4,80.8,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,239.8,0.0,0,0,815.4999999999999,0.0,2025-02-14,2039.74,PRONAMP,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2039.74,0.0,Datas Comemorativas,0.0,0,0.0,0,0.0,0,0.0,815.5,0.0,9.9,290.6,275.2,0.0,239.8,515.0,2025-02
2025-02-15,0.0,383.51,99.9,0.0,59.9,500.1,230.6,0.0,0.0,0,184.4,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1458.41,0.0,2025-02-15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,IOF,0.0,0,0.0,0,0.0,0,0.0,1458.4099999999999,0.0,383.51,159.8,730.7,184.4,0.0,915.1,2025-02
2025-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-02-16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Alex,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,239.8,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,239.8,0.0,2025-02-17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Contrato Rescisório,0.0,0,0.0,0,0.0,0,0.0,239.8,0.0,0.0,0.0,239.8,0.0,0.0,239.8,2025-02
2025-02-18,0.0,119.9,0.0,0.0,0.0,0.0,119.9,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,239.8,0.0,2025-02-18,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Exame Admissional,0.0,0,0.0,0,0.0,0,0.0,239.8,0.0,119.9,0.0,119.9,0.0,0.0,119.9,2025-02
2025-02-19,339.6,85.4,0.0,0.0,0.0,80.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,505.8,0.0,2025-02-19,36.9,Outros,100.0,Diária (s),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,136.9,0.0,Crédito Celular,0.0,0,0.0,0,0.0,0,0.0,505.8,339.6,85.4,0.0,80.8,0.0,0.0,80.8,2025-02
2025-02-20,50.0,0.0,0.0,0.0,0.0,189.8,90.8,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,330.6,0.0,2025-02-20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Multa Rescisória ,0.0,0,0.0,0,0.0,0,0.0,330.6,50.0,0.0,0.0,280.6,0.0,0.0,280.6,2025-02
